name,desc,angelListUrl,location,employees,raised,website
SV Liquidity,Fund providing access to IPO opportunities,https://angel.co/hf-liquidity,San Francisco,1-10,-,https://svlq.io
Tetra (YC W17),AI notetaker for meetings,https://angel.co/tetra,San Francisco,1-10,-,https://asktetra.com
Zipline International,-,https://angel.co/zipline-international-1,-,-,"$25,000,000",
IFTTT,Do more with the services you love,https://angel.co/ifttt,San Francisco,11-50,"$37,000,000",https://ifttt.com
Notion,LEGO for Work,https://angel.co/notion-software,San Francisco,1-10,-,https://notion.so/product
SoundBetter,Music Services Marketplace,https://angel.co/soundbetter,New York City,1-10,-,https://soundbetter.com
Amino Apps,Your Interests...Times Infinity,https://angel.co/amino-apps,Shanghai,11-50,"$29,050,000",http://www.AminoApps.com
Axiom Zen,Shape the impact of emerging technology,https://angel.co/axiomzen,Vancouver,51-200,-,http://www.axiomzen.co/
Bench,Online bookkeeping for your small business. ,https://angel.co/bench,Vancouver,201-500,"$49,750,000",http://www.bench.co
Airtime,All Together Now,https://angel.co/airtime,Brooklyn,11-50,"$41,750,000",https://airtime.com/
Winc,Direct-Distribution Wine Company,https://angel.co/winc,Los Angeles,51-200,"$30,600,000",http://www.winc.com
CrowdFlower,The essential human-in-the-loop platform for data science teams,https://angel.co/crowdflower,San Francisco,51-200,"$38,000,000",http://www.crowdflower.com
Ripple,"Instant, certain, low-cost cross-border payments.",https://angel.co/ripple-labs,San Francisco,51-200,"$86,500,000",http://www.ripple.com
Shopify,beautiful online stores,https://angel.co/shopify,Ottawa,1-10,"$122,000,000",http://www.shopify.com
Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://angel.co/pinterest,San Francisco,501-1000,"$1,448,500,000",http://www.pinterest.com
Lenda,"We make home loans honest, fast, and completely online.",https://angel.co/lenda,San Francisco,11-50,"$9,000,000",https://www.lenda.com
RevCascade,Marketplace automation for brands and retailers,https://angel.co/revcascade,New York City,1-10,-,http://www.revcascade.com
Bitaccess,We make Bitcoin Simple,https://angel.co/bitaccess,Mountain View,11-50,-,http://www.bitaccess.ca
Braze (formerly Appboy),Lifecycle Engagement Platform,https://angel.co/braze,San Francisco,51-200,"$95,100,000",https://www.braze.com/
Pomello,Data-Driven HR Platform,https://angel.co/pomello,San Francisco,1-10,"$28,000",http://www.pomello.com
HackerRank,Match every developer to the right job!,https://angel.co/hackerrank,Palo Alto,51-200,"$19,900,000",https://hackerrank.com
Memebox,Beauty Full Stack E-Commerce,https://angel.co/memebox,San Francisco,51-200,"$156,200,000",http://us.memebox.com
Superhuman,The fastest email experience ever made. Sign up now for VIP access.,https://angel.co/superhuman,San Francisco,11-50,-,https://superhuman.com
Revfluence,Scalable Content Powered by Influencers,https://angel.co/revfluence,San Francisco,11-50,"$2,400,000",http://www.revfluence.com/?utm_source=angellist
Freebird,Travel empowered,https://angel.co/getfreebird,Cambridge,11-50,"$8,500,000",http://www.getfreebird.com
Binti,Helping children join loving families,https://angel.co/binti,San Francisco,1-10,-,https://binti.com
SendGrid,WE DELIVER CUSTOMER COMMUNICATION THAT DRIVES ENGAGEMENT AND GROWTH.,https://angel.co/sendgrid,Redwood City,201-500,"$80,362,000",http://www.sendgrid.com
Rainforest,QA as a service - YC S12,https://angel.co/rainforest,San Francisco,51-200,"$41,000,000",https://www.rainforestqa.com/
Onfleet,Delightful Delivery Management,https://angel.co/onfleet,San Francisco,11-50,"$4,920,000",https://onfleet.com
AdStage,Connecting the Paid Marketer to the Data That They Need,https://angel.co/adstage,San Francisco,11-50,"$10,800,000",https://www.adstage.io
beaconhome,startup in stealth mode,https://angel.co/beaconhome,San Francisco,11-50,-,http://beaconhome.io
Animoto,-,https://angel.co/animoto,New York City,51-200,"$30,000,000",http://animoto.com
HelloSign,Our Vision: Simplify Work.,https://angel.co/hellosign,San Francisco,51-200,-,http://www.hellosign.com/
Mux,Build better video: Stream and measure video on any device,https://angel.co/mux,San Francisco,11-50,"$11,800,000",https://mux.com
Sailthru,Growth starts here.,https://angel.co/sailthru,San Francisco,201-500,"$48,000,000",http://www.sailthru.com/
Merchbar,The online retailer of music merch,https://angel.co/merchbar,San Francisco,1-10,"$1,000,000",https://www.Merchbar.com
Bolt,Let's change payments together,https://angel.co/bolt,Stanford,11-50,-,http://bolt.com/
OhmConnect,Replacing power plants with software,https://angel.co/ohmconnect,San Francisco,11-50,-,https://www.ohmconnect.com
BackerKit,Crowdfunding backer management system | YC W13,https://angel.co/backerkit,San Francisco,11-50,-,https://www.backerkit.com
Rocksbox,Transforming the way women discover and buy jewelry.,https://angel.co/rocksbox,San Francisco,11-50,"$10,200,000",http://www.rocksbox.com
AnyRoad,Experience Relationship Management.,https://angel.co/anyroad,San Francisco,11-50,-,http://anyroad.com
Orion,Orion is a platform for real-time voice communication everywhere. ,https://angel.co/orion-labs,San Francisco,11-50,"$33,500,000",https://www.orionlabs.io
SFOX,Advanced Bitcoin Trading Platform,https://angel.co/sfox,San Francisco,1-10,-,https://www.sfox.com
YourMechanic,The Mechanic Who Comes To You!,https://angel.co/yourmechanic,San Francisco,51-200,"$28,000,000",https://www.YourMechanic.com
Taulia,"Connecting businesses to boost worldwide economic growth, one invoice at a time",https://angel.co/taulia,San Francisco,201-500,"$142,800,000",http://www.taulia.com
PlushCare,"Get diagnosed, treated, and prescribed medication by top doctors via smartphone now. ",https://angel.co/plushcare,San Francisco,11-50,"$8,880,000",http://www.plushcare.com
Cruise Automation,Building the world’s best autonomous vehicles,https://angel.co/cruise-automation,San Francisco,1-10,"$1,018,800,000",http://www.getcruise.com/
Bugsnag,Automatic crash detection for web and mobile apps,https://angel.co/bugsnag,San Francisco,11-50,"$8,600,000",https://bugsnag.com
Thunder,"Enable digital marketing creative agility, personalization, and optimization.",https://angel.co/thunder,Bellevue,51-200,"$9,700,000",http://makethunder.com/
NURX,"Medication, Prescribed and Delivered",https://angel.co/nurx,San Francisco,11-50,"$5,300,000",http://nurx.co
Paintzen,Online Marketplace For Home and Office Painting,https://angel.co/paintzen,New York City,11-50,"$9,220,000",http://www.paintzen.com
Constructor.io,Autocomplete and Search Enhancement as a Service,https://angel.co/constructor-io,San Francisco,11-50,-,https://Constructor.io
Poll Everywhere,"Instant, affordable audience response without clickers, using any mobile device. ",https://angel.co/poll-everywhere,San Francisco,11-50,"$20,000",http://www.polleverywhere.com/
Hootsuite,Social media management platform ,https://angel.co/hootsuite,Vancouver,501-1000,"$284,900,000",http://www.hootsuite.com
RealCrowd,Platform For Accredited Crowd Investing in Commercial Real Estate ,https://angel.co/realcrowd,Palo Alto,11-50,"$1,600,000",http://realcrowd.com
HyperScience,AI for office work,https://angel.co/hyperscience,Sofia,11-50,"$18,000,000",https://www.hyperscience.com/
Jetlore,"Turn consumer behavior into structured, actionable data about your customers.",https://angel.co/jetlore,San Mateo,11-50,-,http://www.jetlore.com
TRED,Where trusted car buyers and sellers connect,https://angel.co/tred,Seattle,11-50,-,https://www.tred.com
Sworkit,"On-demand Personalized Video Exercise delivered to any Screen, anywhere",https://angel.co/sworkit,-,1-10,"$1,838,000",https://sworkit.com
Polymorph,Machine learning driven revenue intelligence platform,https://angel.co/polymorphlabs,San Francisco,11-50,"$10,500,000",http://www.getpolymorph.com
Enki,Personalized continuous learning for tech skills,https://angel.co/enki,San Francisco,11-50,"$700,000",http://enki.com
Second Measure,See inside companies,https://angel.co/second-measure,San Mateo,11-50,"$2,000,000",http://www.secondmeasure.com
Ambassador,End-to-end platform for Relationship Marketing,https://angel.co/ambassador,Detroit,11-50,"$2,350,000",http://getambassador.com
iwoca,Instant Working Capital,https://angel.co/iwoca,London,51-200,"$46,800,000",http://www.iwoca.co.uk
Leapfin,Your Single Revenue Source of Truth,https://angel.co/leapfin,San Francisco,1-10,-,https://leapfin.com
StockTwits,Social network for investors and stock traders,https://angel.co/stocktwits,New York City,11-50,"$10,600,000",http://stocktwits.com/
Flutterwave,-,https://angel.co/flutterwave,-,-,-,https://www.flutterwave.com
Aella Credit,Instant Credit Solutions for Africans,https://angel.co/aella-credit,Mountain View,11-50,-,http://www.aellacredit.com
Revivn,Old Hardware New Purpose,https://angel.co/revivn,San Francisco,11-50,-,http://revivn.com
CareDox,Care coordination platform for parents and schools,https://angel.co/caredox,New York City,11-50,"$6,050,000",http://caredox.com/
Teachable,Create and Sell Beautiful Online Courses,https://angel.co/teachable,New York City,51-200,"$8,500,000",https://teachable.com
Managed by Q,The Platform for Office Management,https://angel.co/managed-by-q,New York City,51-200,"$72,925,000",http://www.managedbyq.com
BISON,Changing how you see private equity,https://angel.co/bison,Boston,11-50,"$1,235,000",http://www.bison.co
Chegg,-,https://angel.co/chegg,Santa Clara,201-500,"$221,300,002",http://www.chegg.com
Rekener,Helping B2B companies maximize recurring revenue,https://angel.co/rekener,-,,"$4,950,000",https://www.rekener.com
